DATE,ALT_SEASON,date,bitcoin_price,1m_return,3m_return,6m_return
2024-12-08,0.76,2024-12-08,99781.82999198174,,,
2024-12-07,0.82,2024-12-07,99973.85150659826,,,
2024-12-06,0.82,2024-12-06,97201.50036407741,,,
2024-12-05,0.84,2024-12-05,98881.4694561823,,,
2024-12-04,0.82,2024-12-04,96031.63097759831,,,
2024-12-03,0.84,2024-12-03,95833.1362300365,,,
2024-12-02,0.78,2024-12-02,97311.70719084324,,,
2024-12-01,0.68,2024-12-01,96513.14234698225,,,
2024-11-30,0.68,2024-11-30,97453.2473451042,,,
2024-11-29,0.64,2024-11-29,95661.59595817851,,,
2024-11-28,0.58,2024-11-28,95981.18057210564,,,
2024-11-27,0.62,2024-11-27,91931.83077291827,,,
2024-11-26,0.52,2024-11-26,93004.70093103287,,,
2024-11-25,0.52,2024-11-25,98015.9355289458,,,
2024-11-24,0.46,2024-11-24,97679.46381643033,,,
2024-11-23,0.46,2024-11-23,98927.49494553401,,,
2024-11-22,0.34,2024-11-22,98509.11859102432,,,
2024-11-21,0.32,2024-11-21,94217.02229634205,,,
2024-11-20,0.32,2024-11-20,92251.65240738312,,,
2024-11-19,0.38,2024-11-19,90534.62459650292,,,
2024-11-18,0.42,2024-11-18,89841.47194135105,,,
2024-11-17,0.4,2024-11-17,90606.45489380708,,,
2024-11-16,0.4,2024-11-16,90947.97509443703,,,
2024-11-15,0.38,2024-11-15,87407.51273710128,,,
2024-11-14,0.32,2024-11-14,90488.10007497849,,,
2024-11-13,0.3,2024-11-13,88264.59974582895,,,
2024-11-12,0.36,2024-11-12,88637.42000322911,,,
2024-11-11,0.36,2024-11-11,80466.71654833542,,,
2024-11-10,0.38,2024-11-10,76630.22631415377,,,
2024-11-09,0.4,2024-11-09,76550.0213845611,32.24734607709612,,
2024-11-08,0.36,2024-11-08,75987.24178320667,31.313925404295585,,
2024-11-07,0.34,2024-11-07,75620.88606963192,32.20402021544957,,
2024-11-06,0.28,2024-11-06,69335.42553133758,40.1902413076634,,
2024-11-05,0.28,2024-11-05,67793.29782704762,45.85729360510822,,
2024-11-04,0.26,2024-11-04,68803.50626277467,39.573745865267185,,
2024-11-03,0.28,2024-11-03,69299.16036699413,38.28902936561409,,
2024-11-02,0.3,2024-11-02,69507.92256395647,40.000885656312946,,
2024-11-01,0.3,2024-11-01,70264.99735573279,37.355932511264676,,
2024-10-31,0.28,2024-10-31,72342.62171127986,34.7106934194908,,
2024-10-30,0.28,2024-10-30,72781.11308158132,31.43739070182967,,
2024-10-29,0.26,2024-10-29,69845.304531169,37.41966080092516,,
2024-10-28,0.28,2024-10-28,67938.55412885673,35.316142581654454,,
2024-10-27,0.3,2024-10-27,67018.1650170265,38.77536173573877,,
2024-10-26,0.3,2024-10-26,66585.66535501445,47.20275754001215,,
2024-10-25,0.24,2024-10-25,68214.05205157402,43.1955159951188,,
2024-10-24,0.3,2024-10-24,66683.96806542306,48.35274176917173,,
2024-10-23,0.34,2024-10-23,67351.04793512498,46.26219132612746,,
2024-10-22,0.3,2024-10-22,67394.85775735618,39.798532753870575,,
2024-10-21,0.3,2024-10-21,68962.82918045693,33.77010993267937,,
2024-10-20,0.34,2024-10-20,68388.87128965274,32.382100902140266,,
2024-10-19,0.26,2024-10-19,68465.61920668735,31.221294691183953,,
2024-10-18,0.24,2024-10-18,67328.10527002988,34.57449089116016,,
2024-10-17,0.24,2024-10-17,67647.54414766871,34.44386820001255,,
2024-10-16,0.22,2024-10-16,66962.21994496793,30.53257913034553,,
2024-10-15,0.24,2024-10-15,66049.99492708022,36.999405033835586,,
2024-10-14,0.3,2024-10-14,62829.533686088886,40.48265929653343,,
2024-10-13,0.34,2024-10-13,63207.77062127557,40.231840376591265,,
2024-10-12,0.34,2024-10-12,62392.34048293159,28.968902152898647,,
2024-10-11,0.32,2024-10-11,60195.18073772453,27.302925873813912,,
2024-10-10,0.36,2024-10-10,60597.15045618275,26.3261074296121,,
2024-10-09,0.32,2024-10-09,62185.230423727575,22.194999142775163,,
2024-10-08,0.34,2024-10-08,62287.39010510681,21.406412986682398,,
2024-10-07,0.38,2024-10-07,62811.79972811266,10.385987714829215,,
2024-10-06,0.4,2024-10-06,62091.932585194016,9.18213527019951,,
2024-10-05,0.4,2024-10-05,62103.01047283253,10.789325249978532,,
2024-10-04,0.34,2024-10-04,60727.86395169296,14.114272851947085,,
2024-10-03,0.36,2024-10-03,60655.55979196848,14.594478729318627,,
2024-10-02,0.38,2024-10-02,60872.668543725544,15.429467832941523,,
2024-10-01,0.4,2024-10-01,63243.27532464382,14.387848099148526,,
2024-09-30,0.36,2024-09-30,65663.68986662335,10.839206918488653,,
2024-09-29,0.38,2024-09-29,65934.10709441357,5.931979075950511,,
2024-09-28,0.36,2024-09-28,65791.00212541742,3.264203210258798,,
2024-09-27,0.42,2024-09-27,65130.76884023231,2.89785643621685,,
2024-09-26,0.36,2024-09-26,63151.89959401337,5.437311914726006,,
2024-09-25,0.3,2024-09-25,64334.14274876097,6.030871224887457,,
2024-09-24,0.34,2024-09-24,63327.02654450202,5.30096185482829,,
2024-09-23,0.36,2024-09-23,63582.59956924825,5.9268548178381675,,
2024-09-22,0.32,2024-09-22,63403.402349259355,6.2953331528011525,,
2024-09-21,0.44,2024-09-21,63128.224540748255,9.24246592099629,,
2024-09-20,0.42,2024-09-20,62966.52931910512,8.61146712258507,,
2024-09-19,0.32,2024-09-19,61440.41208494509,11.434179692723223,,
2024-09-18,0.34,2024-09-18,60317.0319794625,11.62370405253792,,
2024-09-17,0.3,2024-09-17,58211.123231286256,16.210683444278118,,
