dao_name,twitter_handle,twitter_url,market_cap,market_cap_change,volume,treasury,treasury_change,multiplier
ai16z,pmairca,https://twitter.com/pmairca,"$829,948,629.18",-2.30%,"$530,338.43","$20,420,285.65",+2.78%,213.49x
DRUGS,Big_Pharmai,https://twitter.com/Big_Pharmai,"$24,822,274.17",-28.20%,"$2,242,715.27","$415,548.34",-13.54%,4.35x
hAIyez,cryptohayesai,https://twitter.com/cryptohayesai,"$9,326,232.77",-21.13%,"$1,055,651.47","$247,476.78",+32.41%,1.09x
X,xcombinator_ai,https://twitter.com/xcombinator_ai,"$7,003,234.30",+70.66%,"$857,792.92","$100,235.98",+6.62%,1.05x
DJAI,DAOJonesAI,https://twitter.com/DAOJonesAI,"$4,756,986.53",+34.32%,"$452,414.98","$304,882.85",+37.74%,3.19x
SQR,sqrfund_ai,https://twitter.com/sqrfund_ai,"$3,198,187.75",-23.52%,"$102,669.95","$63,418.96",+4.13%,1.04x
TOPKEK,0xKDOT,https://twitter.com/0xKDOT,"$3,167,868.55",+16.03%,"$166,945.60","$378,315.11",+64.57%,5.00x
L8CAP,IAmJustLate,https://twitter.com/IAmJustLate,"$2,215,430.98",-8.83%,"$89,419.09","$544,863.19",+104.63%,5.71x
CLOSED,sAImAltman,https://twitter.com/sAImAltman,"$2,004,618.30",-12.72%,"$274,950.36","$91,728.11",+15.05%,0.96x
GIRLE,girleconomyai,https://twitter.com/girleconomyai,"$1,497,096.50",-8.93%,"$88,724.56","$158,536.01",+10.95%,1.66x
MONOPOLY,quangocracy,https://twitter.com/quangocracy,"$1,413,862.94",+12.69%,"$92,221.79",$15.97,+4.10%,0.00x
PJMORGEN,paulcr2009,https://twitter.com/paulcr2009,"$1,383,412.68",-14.18%,"$5,563.82","$90,981.46",+4.71%,0.95x
WAIC,paiulg,https://twitter.com/paiulg,"$1,065,494.04",+27.49%,"$11,568.48","$364,499.06",+3.83%,8.02x
kotopia,koto9x,https://twitter.com/koto9x,"$1,053,657.13",+0.00%,$135.53,"$992,917.84",+6.96%,1.04x
